Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
8/1/19,274.2200895,277.2331832,270.8660401,271.6769104,142646600,1,3,31,8,2019
8/2/19,270.7646966,271.0134748,268.0464419,269.6313171,116749700,2,4,31,8,2019
8/5/19,265.4572067,265.5677748,259.5876481,261.5226746,178745400,5,0,32,8,2019
8/6/19,263.4484982,265.4111668,261.9465489,265.1900024,120711700,6,1,32,8,2019
8/7/19,262.0570467,266.1298163,259.8824658,265.3465881,140572300,7,2,32,8,2019
8/8/19,266.8670109,270.5527649,266.304947,270.5527649,87713900,8,3,32,8,2019
8/9/19,269.594473,270.2026258,266.8946649,268.7098999,93730000,9,4,32,8,2019
8/12/19,267.1803165,268.7006845,264.4712849,265.4388123,65527600,12,0,33,8,2019
8/13/19,265.1346864,271.0411101,264.7845353,269.566803,94299800,13,1,33,8,2019
8/14/19,265.4387543,266.0561023,261.4673572,261.596344,135622100,14,2,33,8,2019
8/15/19,262.4993249,263.199627,260.2049528,262.287384,99556600,15,3,33,8,2019
8/16/19,263.9737269,266.5998042,262.3427626,266.1575317,83018300,16,4,33,8,2019
8/19/19,269.235088,270.0551535,268.5440092,269.3640747,53571800,19,0,34,8,2019
8/20/19,268.8480892,269.3917345,267.1710926,267.3000793,51596400,20,1,34,8,2019
8/21/19,269.502343,269.852466,268.8020407,269.4747009,49524700,21,2,34,8,2019
8/22/19,270.1933681,270.838358,267.5856819,269.3916931,51666400,22,3,34,8,2019
8/23/19,268.0648787,269.760322,261.2001512,262.4717407,149161500,23,4,34,8,2019
8/26/19,264.7016074,265.3742676,263.1443742,265.3742676,72423800,26,0,35,8,2019
8/27/19,266.7932913,267.1710844,263.5590334,264.3330383,66668900,27,1,35,8,2019
8/28/19,263.6603805,266.3601881,262.8402869,266.1943359,59696700,28,2,35,8,2019
8/29/19,268.8019979,270.1288714,267.7791867,269.5944214,57899400,29,3,35,8,2019
8/30/19,271.105637,271.1240556,268.5256204,269.4747009,62901200,30,4,35,8,2019
9/3/19,267.7422665,268.6728999,266.5443802,267.8988953,69101400,3,1,36,9,2019
9/4/19,270.1105302,270.958238,269.3457204,270.9398193,46887300,4,2,36,9,2019
9/5/19,273.4736493,275.3533629,270.9028288,274.4227295,83258100,5,3,36,9,2019
9/6/19,274.7452703,275.2889155,274.0541916,274.6346741,49584300,6,4,36,9,2019
9/9/19,275.6391342,275.7312556,273.8146758,274.7729797,51260300,9,0,37,9,2019
9/10/19,273.9989704,274.7730035,272.7181853,274.7084961,57947100,10,1,37,9,2019
9/11/19,275.0217364,276.7448218,274.3582996,276.6618958,68821100,11,2,37,9,2019
9/12/19,277.5833128,278.6982454,276.8093079,277.6201782,72908700,12,3,37,9,2019
9/13/19,278.0716773,278.4310518,277.0580895,277.4358826,62104800,13,4,37,9,2019
9/16/19,276.2841124,277.4819993,275.924766,276.5789795,58191200,16,0,38,9,2019
9/17/19,276.376277,277.3714182,276.2012014,277.2792969,41475500,17,1,38,9,2019
9/18/19,276.8830068,277.555667,274.8097705,277.4450989,73375800,18,2,38,9,2019
9/19/19,277.8412942,278.854882,277.0857081,277.4266357,76560500,19,3,38,9,2019
9/20/19,278.0413669,278.3283579,275.3105872,276.1159363,89565000,20,4,38,9,2019
9/23/19,275.4401557,276.7824229,275.1809626,276.0511169,43476800,23,0,39,9,2019
9/24/19,277.1619118,277.5599533,272.9037158,273.8849487,94869400,24,1,39,9,2019
9/25/19,273.9683193,275.9585553,272.459434,275.5049744,71854000,25,2,39,9,2019
9/26/19,275.5142218,275.7271133,273.4962163,274.9310303,56179700,26,3,39,9,2019
9/27/19,275.6993496,275.8104566,271.8669923,273.4499207,84746600,27,4,39,9,2019
9/30/19,273.9776263,275.4402103,273.9313529,274.7181702,51662400,30,0,40,9,2019
10/1/19,275.6160305,276.2825311,271.2282515,271.4504089,88242400,1,1,40,10,2019
10/2/19,269.8396923,269.8489583,265.3408348,266.655304,122539500,2,2,40,10,2019
10/3/19,266.4238907,268.8677355,263.6560757,268.8399658,85278800,3,3,40,10,2019
10/4/19,269.5064067,272.7370678,269.4508391,272.4778748,65091200,4,4,40,10,2019
10/7/19,271.6633107,273.3203102,271.0153138,271.3022766,59610500,7,0,41,10,2019
10/8/19,269.4138624,270.163672,267.0533269,267.0903625,95708100,8,1,41,10,2019
10/9/19,269.145389,270.5802027,268.5066583,269.6267395,62359400,9,2,41,10,2019
10/10/19,269.5434822,272.3483329,269.3768641,271.4504089,55296300,10,3,41,10,2019
10/11/19,274.2552909,276.5417557,274.1349744,274.2645569,98720400,11,4,41,10,2019
10/14/19,273.9404829,274.6255154,273.6072468,273.9590149,40394800,14,0,42,10,2019
10/15/19,275.0235314,277.4303401,274.9031868,276.6712646,46754500,15,1,42,10,2019
10/16/19,276.1992506,276.9305566,275.7827053,276.2270203,48928200,16,2,42,10,2019
10/17/19,277.4118062,277.9301922,276.3379984,277.0415344,45736600,17,3,42,10,2019
10/18/19,276.4954496,277.1526842,274.9587946,275.828949,64304000,18,4,42,10,2019
10/21/19,277.1711677,277.9024452,276.7268246,277.6987915,39048600,21,0,43,10,2019
10/22/19,278.244974,278.5412027,276.6990815,276.7916565,48594700,22,1,43,10,2019
10/23/19,276.5324429,277.6525242,276.3195233,277.5969849,34352200,23,2,43,10,2019
10/24/19,278.5505418,278.6986562,277.2082744,278.0506592,35453100,24,3,43,10,2019
10/25/19,277.4674041,279.7446308,277.4118648,279.189209,45205400,25,4,43,10,2019
10/28/19,280.4295813,281.2719657,280.4018116,280.7628174,42147000,28,0,44,10,2019
10/29/19,280.4852082,281.6238217,280.3555975,280.6795959,44284900,29,1,44,10,2019
10/30/19,280.8832035,281.9199758,279.5502025,281.5404663,49643900,30,2,44,10,2019
10/31/19,281.5311601,281.5311601,279.3095014,280.7905884,69053800,31,3,44,10,2019
11/1/19,282.2624984,283.4381191,282.0958521,283.3918457,71141500,1,4,44,11,2019
11/4/19,284.9748608,285.1137092,284.1509797,284.5305176,60606900,4,0,45,11,2019
11/5/19,284.7340232,285.0395179,283.9194085,284.2156372,42933200,5,1,45,11,2019
11/6/19,284.2156817,284.5581838,283.3177579,284.2804871,46487100,6,2,45,11,2019
11/7/19,285.6413075,286.6410443,284.7989229,285.2802734,54272300,7,3,45,11,2019
11/8/19,284.9285213,286.039365,284.2157473,285.9838257,49032100,8,4,45,11,2019
11/11/19,284.5767642,285.6135366,284.4378876,285.4376526,35797300,11,0,46,11,2019
11/12/19,285.8078528,286.9557036,285.252431,286.0392761,46484600,12,1,46,11,2019
11/13/19,285.0303801,286.5392655,284.7989567,286.131958,53917700,13,2,46,11,2019
11/14/19,285.8449539,286.6317992,285.1969571,286.5484619,51219900,14,3,46,11,2019
11/15/19,287.9092071,288.6682827,287.2056992,288.6220093,62023600,15,4,46,11,2019
11/18/19,288.3813191,289.0755893,287.9184723,288.8348999,49228000,18,0,47,11,2019
11/19/19,289.4458571,289.4551231,288.0943524,288.7515869,67804700,19,1,47,11,2019
11/20/19,288.1499082,288.6775603,286.0948672,287.6777954,79406200,20,2,47,11,2019
11/21/19,287.788889,287.8999678,286.4003487,287.2149353,54664700,21,3,47,11,2019
11/22/19,287.9741045,288.1129529,286.8262531,287.8537598,44850200,22,4,47,11,2019
11/25/19,288.7978649,290.0845642,288.7978649,290.0845642,48647200,25,0,48,11,2019
11/26/19,290.1216224,290.9269713,289.797624,290.7418213,37569000,26,1,48,11,2019
